link,lat,lng,gmap
<a href=./parcels/068-17-04-003.html>068-17-04-003</a>,33.5675272,-81.8156504,https://maps.google.com/maps?q=33.5675272,-81.8156504
<a href=./parcels/121-16-02-010.html>121-16-02-010</a>,33.547248,-81.696915,https://maps.google.com/maps?q=33.547248,-81.696915
<a href=./parcels/121-30-08-001.html>121-30-08-001</a>,33.556136,-81.714619,https://maps.google.com/maps?q=33.556136,-81.714619
<a href=./parcels/119-09-03-016.html>119-09-03-016</a>,33.608039,-81.719083,https://maps.google.com/maps?q=33.608039,-81.719083
<a href=./parcels/209-00-05-016.html>209-00-05-016</a>,33.471354,-81.532586,https://maps.google.com/maps?q=33.471354,-81.532586
<a href=./parcels/225-18-08-001.html>225-18-08-001</a>,33.482976,-81.516144,https://maps.google.com/maps?q=33.482976,-81.516144
<a href=./parcels/180-00-02-007.html>180-00-02-007</a>,33.7872434,-81.6029681,https://maps.google.com/maps?q=33.7872434,-81.6029681
<a href=./parcels/224-00-21-013.html>224-00-21-013</a>,33.530549,-81.4948329,https://maps.google.com/maps?q=33.530549,-81.4948329
<a href=./parcels/051-12-03-001.html>051-12-03-001</a>,33.5604168,-81.7195533,https://maps.google.com/maps?q=33.5604168,-81.7195533
<a href=./parcels/022-10-06-006.html>022-10-06-006</a>,33.662168,-81.775901,https://maps.google.com/maps?q=33.662168,-81.775901
<a href=./parcels/073-16-05-002.html>073-16-05-002</a>,33.5604168,-81.7195533,https://maps.google.com/maps?q=33.5604168,-81.7195533
